Faculty_ID,Faculty_name,Department
cse_0001,NRTJNPDQ,cse
cse_0002,CEWFDXEV,cse
cse_0003,EKYCDGRU,cse
cse_0004,APPYPZDD,cse
cse_0005,ZDZZCRTQ,cse
cse_0006,QXZHVDBY,cse
cse_0007,GTOAPSQL,cse
cse_0008,FITMDLIJ,cse
cse_0009,KHXEZMSZ,cse
cse_0010,MUJVNJPA,cse
me_0001,XCAVJQCV,me
me_0002,VIYUAKRE,me
me_0003,XCPTVRAR,me
me_0004,OJEOKYKV,me
me_0005,APYLMXEM,me
me_0006,AVKCMHZT,me
me_0007,CAZDEVAY,me
me_0008,AGXVVNKX,me
me_0009,EMYGOCQJ,me
me_0010,JYGIQLAT,me
ee_0001,CSMRUEUG,ee
ee_0002,JKOMLDXQ,ee
ee_0003,EVEJDNPG,ee
ee_0004,KEVXZQQW,ee
ee_0005,XJLZWVRC,ee
ee_0006,UJAQLRWO,ee
ee_0007,PJBKNDQI,ee
ee_0008,RSGXSIYN,ee
ee_0009,HGLAFJHT,ee
ee_0010,OQHNYAYY,ee
